"msa","day","pairs_ratio","corr_value","corr_name"
"Chicago",2020-03-30,9.21202417879986e-08,-0.320547515564493,"log_pearson_adjusted"
"Chicago",2020-03-30,9.21202417879986e-08,-0.330620496793999,"log_spearman_adjusted"
"Chicago",2020-03-31,9.21202417879986e-08,-0.0382280445055803,"pearson"
"Chicago",2020-03-31,9.21202417879986e-08,-0.014927745969622,"spearman"
"Chicago",2020-03-31,9.21202417879986e-08,-0.048156866289258,"pearson_adjusted"
"Chicago",2020-03-31,9.21202417879986e-08,-0.31430721297285,"spearman_adjusted"
"Chicago",2020-03-31,9.21202417879986e-08,-0.00318639915826568,"log_pearson"
"Chicago",2020-03-31,9.21202417879986e-08,-0.014927745969622,"log_spearman"
"Chicago",2020-03-31,9.21202417879986e-08,-0.301932156547558,"log_pearson_adjusted"
"Chicago",2020-03-31,9.21202417879986e-08,-0.314307144053617,"log_spearman_adjusted"
"Chicago",2020-04-01,9.21202417879986e-08,-0.0179597623704162,"pearson"
"Chicago",2020-04-01,9.21202417879986e-08,-0.0279675941645736,"spearman"
"Chicago",2020-04-01,9.21202417879986e-08,-0.0673087413767622,"pearson_adjusted"
"Chicago",2020-04-01,9.21202417879986e-08,-0.356834885344975,"spearman_adjusted"
"Chicago",2020-04-01,9.21202417879986e-08,0.00307768739419318,"log_pearson"
"Chicago",2020-04-01,9.21202417879986e-08,-0.0279675941645736,"log_spearman"
"Chicago",2020-04-01,9.21202417879986e-08,-0.346572400743802,"log_pearson_adjusted"
"Chicago",2020-04-01,9.21202417879986e-08,-0.356834821925357,"log_spearman_adjusted"
"Chicago",2020-04-02,9.21202417879986e-08,0.00407658845303432,"pearson"
"Chicago",2020-04-02,9.21202417879986e-08,-0.000703708269708614,"spearman"
"Chicago",2020-04-02,9.21202417879986e-08,-0.0107903425505208,"pearson_adjusted"
"Chicago",2020-04-02,9.21202417879986e-08,-0.331133930224474,"spearman_adjusted"
"Chicago",2020-04-02,9.21202417879986e-08,0.0265820570529076,"log_pearson"
"Chicago",2020-04-02,9.21202417879986e-08,-0.000703708269708614,"log_spearman"
"Chicago",2020-04-02,9.21202417879986e-08,-0.311407830986065,"log_pearson_adjusted"
"Chicago",2020-04-02,9.21202417879986e-08,-0.331133994122399,"log_spearman_adjusted"
"Chicago",2020-04-03,9.21202417879986e-08,-0.010452341884544,"pearson"
"Chicago",2020-04-03,9.21202417879986e-08,-0.0230945595289481,"spearman"
"Chicago",2020-04-03,9.21202417879986e-08,-0.0292963365923345,"pearson_adjusted"
"Chicago",2020-04-03,9.21202417879986e-08,-0.3470270148344,"spearman_adjusted"
"Chicago",2020-04-03,9.21202417879986e-08,0.00701943628095175,"log_pearson"
"Chicago",2020-04-03,9.21202417879986e-08,-0.0230945595289481,"log_spearman"
"Chicago",2020-04-03,9.21202417879986e-08,-0.334100347575008,"log_pearson_adjusted"
"Chicago",2020-04-03,9.21202417879986e-08,-0.34702706040922,"log_spearman_adjusted"
"Chicago",2020-04-04,9.21202417879986e-08,-0.0139594003113413,"pearson"
"Chicago",2020-04-04,9.21202417879986e-08,-0.00313332554592582,"spearman"
"Chicago",2020-04-04,9.21202417879986e-08,-0.0474038604681318,"pearson_adjusted"
